team,time_stamp,latent_shape,total_params,time_per_sample,mse,ssim,entropy,kl_div_classes,gen_confidence,total_params_rank,time_per_sample_rank,mse_rank,ssim_rank,entropy_rank,kl_div_classes_rank,gen_confidence_rank,overall_rank
Chris,2025-10-12 16:08:36,16,243377,6.159231998026371e-05,0.0071535124443471,0.9164834778605612,0.447521299123764,0.0116108208894729,0.895591676235199,2.0,3.0,4.0,4.0,1.0,4.0,1.0,2.7142857142857144
marco,2025-10-10 19:36:45,13,450024,0.0001040435163304,0.0093488804996013,0.8861199218449733,0.486610472202301,0.0050350129604339,0.8856472969055176,6.0,6.0,6.0,6.0,2.0,1.0,2.0,4.142857142857143
cooked,2025-10-12 17:14:18,16,446577,0.000101116253063,0.0062335506081581,0.9312025486336266,0.6537783145904541,0.0159846991300582,0.8356804847717285,5.0,5.0,2.0,2.0,5.0,6.0,4.0,4.142857142857143
Yann LeCool Boys,2025-10-11 13:57:51,16,951281,0.0003874774556607,0.0065900478512048,0.926858596149418,0.5293384194374084,0.0067409723997116,0.8691657185554504,10.0,9.0,3.0,3.0,3.0,2.0,3.0,4.714285714285714
Neanderthals,2025-10-12 13:23:06,12,263973,6.546569056808949e-05,0.0090165333822369,0.8915537446575529,0.7473739385604858,0.0179774165153503,0.7912368774414062,3.0,4.0,5.0,5.0,6.0,7.0,7.0,5.285714285714286
Mrs & Mr Meower,2025-10-12 13:54:10,12,192741,4.637311212718487e-05,0.0103850737214088,0.8791267940101386,0.841916561126709,0.0080316811800003,0.7557222843170166,1.0,2.0,8.0,7.0,8.0,3.0,8.0,5.285714285714286
sample,2025-10-09 19:01:35,3,438553,1.5030265785753729e-05,0.0304891765117645,0.6443594263753002,0.7563953399658203,0.0248557180166244,0.791973352432251,4.0,1.0,9.0,9.0,7.0,8.0,6.0,6.285714285714286
brody,2025-10-12 17:05:19,11,687020,0.0040134872542694,0.0098735624924302,0.8785133793482758,0.6483785510063171,0.0132684707641601,0.8352224826812744,7.0,11.0,7.0,8.0,4.0,5.0,5.0,6.714285714285714
sample2,2025-10-09 21:25:06,7x7,3436660,0.000689364853315,0.0011855950579047,0.9858770240390476,1.8877551555633545,0.1512718498706817,0.338559627532959,11.0,10.0,1.0,1.0,11.0,11.0,11.0,8.0
zaintest,2025-10-09 20:26:53,16,818501,0.0003424135502427,0.2241288721561432,0.1623211338376716,1.2642956972122192,0.0420251786708831,0.6047817468643188,8.0,8.0,10.0,10.0,9.0,9.0,9.0,9.0
zain,2025-10-12 05:37:50,16,818501,0.0002341478830203,0.2408406734466552,0.0242792583334314,1.674612283706665,0.126442089676857,0.4229768514633178,8.0,7.0,11.0,11.0,10.0,10.0,10.0,9.571428571428571
